element_index,cx,cy,cz,Re_J,Im_J,magnitude_J
2839,-8.324364403670e+01,-9.436455938507e+00,3.333333333333e+01,-2.490849062473e-02,-1.241807175441e-02,2.783238062581e-02
2840,-8.288486281690e+01,-8.477443372863e+00,3.366666666667e+01,1.790575610031e-02,-1.006073679597e-02,2.053861062491e-02
2841,-8.497301430078e+01,-8.603933598662e+00,3.333333333333e+01,-3.353289304210e-02,-1.869929027933e-02,3.839424921422e-02
2842,-2.524943057519e+01,3.778095798573e+01,-4.773151852498e+01,-4.643346484022e-02,-3.414253921087e-01,3.445683749760e-01
2843,-2.524943057519e+01,3.778095798573e+01,-4.873151852498e+01,-1.040683329644e-01,-3.984719647394e-01,4.118374978184e-01
2844,-2.524943057519e+01,3.919991495082e+01,-4.823151852498e+01,2.310110072407e-01,-3.924714599265e-01,4.554118271666e-01
2845,-2.524943057519e+01,3.555293156130e+01,-4.823151852498e+01,4.980935006659e-02,-8.121199354552e-02,9.526992835986e-02
2846,-2.524943057519e+01,3.876690224893e+01,-4.898151852498e+01,1.580698713638e-01,-6.811036562948e-01,6.992054596835e-01
2847,-2.524943057519e+01,3.876690224893e+01,-4.748151852498e+01,2.205071569989e-01,-3.719305715320e-01,4.323838067364e-01
2848,-2.524943057519e+01,3.665879468391e+01,-4.923151852498e+01,-8.573061899823e-03,-1.863996361563e-02,2.051695966585e-02
2849,-2.524943057519e+01,3.665879468391e+01,-4.723151852498e+01,-6.947198447444e-02,-1.845356117063e-02,7.188108615411e-02
2850,4.600198814150e+01,3.875060206971e+01,-4.848151852498e+01,-2.368580996224e-04,-9.046963312383e-04,9.351883292219e-04
2851,-1.428767384955e+01,3.875060206971e+01,-4.798151852498e+01,-2.798295763839e-03,-1.433762166045e-03,3.144222182147e-03
